Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13700,E73994,-112.44182825484764
13701,E73AE6,-112.41842105263159
13702,E73B8F,-112.40671745152355
13703,E73CE1,-112.38331024930747
13704,E73D8A,-112.37160664819945
13705,E73E33,-112.35990304709142
13706,E73F85,-112.33649584487534
13707,E7402E,-112.32479224376732
13708,E740D7,-112.31308864265928
13709,E74229,-112.2896814404432
13710,E742D2,-112.27797783933518
13710,E74424,-112.2545706371191
13712,E744CD,-112.24286703601108
13713,E74576,-112.23116343490305
13714,E746C8,-112.20775623268699
13715,E74771,-112.19605263157894
13716,E748C3,-112.17264542936289
13717,E7496C,-112.16094182825486
13718,E74ABE,-112.13753462603879
13719,E74B67,-112.12583102493075
13720,E74CB9,-112.10242382271467
13721,E74D62,-112.09072022160665
13722,E74EB4,-112.06731301939058
13723,E74F5D,-112.05560941828254
13724,E750AF,-112.03220221606648
13725,E75158,-112.02049861495846
13726,E752AA,-111.99709141274238
13727,E75353,-111.98538781163435
13728,E754A5,-111.96198060941829
13729,E7554E,-111.95027700831024
13730,E756A0,-111.92686980609419
13731,E75749,-111.91516620498616
13732,E7589B,-111.89175900277009
13733,E75944,-111.88005540166205
13734,E75A96,-111.85664819944597
13735,E75BE8,-111.83324099722992
13736,E75C91,-111.8215373961219
13737,E75DE3,-111.79813019390582
13738,E75E8C,-111.78642659279778
13739,E75FDE,-111.7630193905817
13740,E76130,-111.73961218836565
13741,E761D9,-111.72790858725762
13742,E7632B,-111.70450138504154
13742,E7647D,-111.68109418282549
13744,E76526,-111.66939058171747
13745,E76678,-111.64598337950139
13746,E767CA,-111.62257617728532
13747,E76873,-111.61087257617727
13748,E769C5,-111.58746537396122
13749,E76B17,-111.56405817174515
13750,E76C69,-111.54065096952908
13751,E76D12,-111.52894736842106
13752,E76E64,-111.50554016620498
13753,E76FB6,-111.48213296398893
13754,E77108,-111.45872576177285
13755,E7725A,-111.43531855955679
13756,E77303,-111.42361495844877
13757,E77455,-111.40020775623269
13758,E775A7,-111.37680055401663
13759,E776F9,-111.35339335180055
13760,E7784B,-111.3299861495845
13761,E7799D,-111.30657894736842
13762,E77A46,-111.29487534626038
13763,E77B98,-111.2714681440443
13764,E77CEA,-111.24806094182826
13765,E77E3C,-111.2246537396122
13766,E77F8E,-111.20124653739612
13767,E780E0,-111.17783933518007
13768,E78232,-111.15443213296399
13769,E78384,-111.13102493074793
13770,E784D6,-111.10761772853185
13771,E78628,-111.0842105263158
13772,E7877A,-111.06080332409972
13773,E788CC,-111.03739612188366
13774,E78A1E,-111.01398891966758
13775,E78AC7,-111.00228531855956
13776,E78C19,-110.9788781163435
13777,E78D6B,-110.95547091412742
13778,E78F66,-110.92036011080332
13779,E790B8,-110.89695290858727
13780,E7920A,-110.87354570637119
13781,E7935C,-110.85013850415513
13782,E794AE,-110.82673130193905
13783,E79600,-110.803324099723
13784,E79752,-110.77991689750692
13785,E798A4,-110.75650969529086
13786,E799F6,-110.7331024930748
13787,E79B48,-110.70969529085872
13788,E79C9A,-110.68628808864267
13789,E79DEC,-110.66288088642659
13790,E79F3E,-110.63947368421053
13791,E7A090,-110.61606648199445
13792,E7A1E2,-110.5926592797784
13793,E7A334,-110.56925207756233
13794,E7A52F,-110.53414127423822
13794,E7A681,-110.51073407202216
13796,E7A7D3,-110.48732686980611
13797,E7A925,-110.46391966759003
13798,E7AA77,-110.44051246537397
13799,E7AC72,-110.40540166204987
13800,E7ADC4,-110.38199445983379
13801,E7AF16,-110.35858725761773
13802,E7B068,-110.33518005540165
13803,E7B1BA,-110.3117728531856
13804,E7B30C,-110.28836565096952
13804,E7B507,-110.25325484764544
13806,E7B659,-110.22984764542936
13807,E7B7AB,-110.2064404432133
13808,E7B8FD,-110.18303324099722
13809,E7BA4F,-110.15962603878117
13810,E7BC4A,-110.12451523545707
13811,E7BD9C,-110.101108033241
13812,E7BEEE,-110.07770083102493
13813,E7C040,-110.05429362880886
13814,E7C23B,-110.01918282548476
13815,E7C38D,-109.99577562326871
13816,E7C4DF,-109.97236842105264
13817,E7C6DA,-109.93725761772852
13818,E7C82C,-109.91385041551247
13819,E7C97E,-109.8904432132964
13820,E7CAD0,-109.86703601108033
13821,E7CCCB,-109.83192520775623
13822,E7CE1D,-109.80851800554018
13823,E7CF6F,-109.7851108033241
13824,E7D16A,-109.75000000000001
13825,E7D2BC,-109.72659279778394
13826,E7D40E,-109.70318559556787
13827,E7D560,-109.6797783933518
13828,E7D75B,-109.6446675900277
13829,E7D8AD,-109.62126038781163
13830,E7D9FF,-109.59785318559555
13831,E7DBFA,-109.56274238227148
13832,E7DD4C,-109.5393351800554
13833,E7DE9E,-109.51592797783934
13834,E7E099,-109.48081717451524
13835,E7E1EB,-109.45740997229917
13836,E7E33D,-109.4340027700831
13837,E7E48F,-109.41059556786705
13838,E7E68A,-109.37548476454293
13839,E7E7DC,-109.35207756232685
13840,E7E92E,-109.3286703601108
13841,E7EB29,-109.2935595567867
13842,E7EC7B,-109.27015235457064
13843,E7EDCD,-109.24674515235456
13844,E7EFC8,-109.21163434903048
13845,E7F11A,-109.1882271468144
13846,E7F315,-109.1531163434903
